name,rating,reviews,location,salery,interview,job_ava
MRF Tyres,3.6,3.2k,Auto Components | Chennai +186 other locations,12.1k,348,19
Ford Motor,4.2,3.2k,Automobile | Chennai +127 other locations,14.7k,170,1
Alkem Laboratories,3.9,3.2k,Pharma | Mumbai +187 other locations,9.5k,182,31
UBS,3.9,3.2k,Financial Services | Pune +19 other locations,30.5k,364,--
IGT Solutions,3.3,3.2k,IT Services & Consulting | New Delhi +48 other locations,13.2k,241,76
Vishal Mega Mart,3.7,3.2k,Retail | New Delhi +359 other locations,6.2k,190,2
24/7 Customer,3.5,3.2k,Software Product | Bangalore / Bengaluru +35 other locations,11.4k,180,56
Honda Motorcycle & Scooter,4.1,3.2k,Automobile | Gurgaon / Gurugram +281 other locations,10.7k,184,--
Reliance Digital,4.1,3.2k,Retail | Mumbai +358 other locations,7.9k,152,--
Hindustan Coca Cola Beverages,4.0,3.1k,Beverage | Bangalore / Bengaluru +249 other locations,7.3k,162,49
HARMAN,3.7,3.1k,Consumer Electronics & Appliances | Bangalore / Bengaluru +38 other locations,23.7k,288,288
NatWest Group,4.0,3.1k,Banking | Gurgaon / Gurugram +25 other locations,20k,226,--
Reliance Nippon Life Insurance,3.4,3.1k,Insurance | Mumbai +470 other locations,8.2k,158,12
Indian Air Force,4.6,3.1k,Defence & Aerospace | New Delhi +130 other locations,5k,72,--
Ceat Tyres,3.9,3.1k,Auto Components | Nagpur +133 other locations,12.5k,195,6
ABB,4.1,3.1k,Industrial Machinery | Bangalore / Bengaluru +105 other locations,16.7k,265,377
Marpu Foundation,4.8,3.1k,Non-Profit | Hyderabad / Secunderabad +57 other locations,55,211,--
ArcelorMittal Nippon Steel,4.1,3.1k,Iron & Steel | Surat +80 other locations,11k,259,4
DTDC Express,3.7,3.1k,Logistics | New Delhi +258 other locations,8.4k,178,13
Future Group,4.3,3k,Retail | Mumbai +205 other locations,6.9k,80,--
InterGlobe Aviation,3.5,3k,Aviation | New Delhi +99 other locations,13.2k,349,42
RSPL Group,4.0,3k,FMCG | Kanpur +237 other locations,9.2k,230,30
Conduent,3.4,3k,BPO | Bangalore / Bengaluru +34 other locations,16.6k,218,491
Barclays,3.7,3k,Banking | Pune +36 other locations,28.8k,296,--
UNO Minda,3.9,3k,Auto Components | Pune +100 other locations,10.4k,217,7
GeBBS Healthcare Solutions,3.7,3k,Healthcare | Mumbai +24 other locations,11.3k,172,66
Tata Technologies,3.5,3k,Engineering & Construction | Pune +52 other locations,21.7k,298,115
Alstom Transportation,3.7,3k,Engineering & Construction | Bangalore / Bengaluru +74 other locations,14k,270,329
AGS Health,4.0,3k,IT Services & Consulting | Chennai +58 other locations,13.6k,195,33
Tata AIG,4.1,2.9k,Insurance | Mumbai +252 other locations,11.1k,180,127
